hebrew	aligned_ipa
לויתן	li|v|ja|tˈa|n
סתו	s|tˈa|v
עכשו	ʔa|x|ʃˈa|v
עכשיו	ʔa|x|ʃˈa|_|v
רולרבלידס	rˈo|_|le|r|b|le|j|d|s
רמ"ח	rˈa|ma|_|x
צה"ל	tsˈa|ha|_|l
צה״ל	tsˈa|ha|_|l
יששכר	ji|sa|_|xˈa|r
וסבי	wa|sˈa|bi|_
כהלכה	ka|ha|la|xˈa|_
אזרביג'ן	ʔa|ze|r|ba|j|dʒˈa|_|n
ארוג'ל	ʔˈe|ro|_|dʒe|_|l
ג'וב	dʒˈo|_|_|b
אג'נדה	ʔa|dʒˈe|_|n|da|_
פיג'מה	pi|_|dʒˈa|_|ma|_
טרנסג'נדר	t|ra|n|s|dʒˈe|_|n|de|r
צ'יפס	tʃˈi|_|_|p|s
צ׳יפס	tʃˈi|_|_|p|s
ליצ'י	lˈi|_|tʃi|_|_
לינץ'	lˈi|_|n|tʃ|_
צ'רטר	tʃˈa|_|r|te|r
בגז'	ba|gˈa|ʒ|_
ז'בוטינסקי	ʒa|_|bo|_|tˈi|_|n|s|ki|_
ויטרז'	vi|_|t|rˈa|ʒ|_
כסיל	k|sˈi|_|l
שפוי	ʃa|fˈu|_|j
סדום	s|dˈo|_|m
גרעינית	ga|r|ʔi|_|nˈi|_|t
ג'יפ	dʒˈi|_|_|p
חשן	xˈo|ʃe|n
רחבי	ro|x|bˈi|_
מצליח	ma|ts|lˈi|a|x
טרמפ	t|rˈe|m|p
כבב	ka|bˈa|b
סלב	se|lˈe|b
פאב	pˈa|_|b
אמנות	ʔo|ma|nu|_|t
מנגו	mˈa|n|go|_
התאבדות	hi|t|ʔa|b|dˈu|_|t
התעללות	hi|t|ʔa|le|lˈu|_|t
הלני	he|lˈe|ni|_
צבאי	ts|va|ʔˈi|_
מהנדס	me|ha|n|dˈe|s
צהרים	tso|ho|rˈa|ji|m
מבצר	mi|v|tsˈa|r
כימיה	xˈi|_|m|ja|_
העולם	ha|ʔo|_|lˈa|m
הגנה	ha|ga|nˈa|_
שאלון	ʃe|ʔe|lˈo|_|n
באר	ve|ʔˈe|r
טרולי	t|rˈo|_|li|_
איבריו	ʔe|j|va|rˈa|_|v
איר	ʔi|jˈa|r
לשונאי	le|ʃo|_|nˈa|_|j
סתמי	s|ta|mˈi|_
סנאי	s|na|ʔˈi|_
איתנות	ʔe|j|ta|nˈu|_|t
אירופה	ʔe|j|rˈo|_|pa|_
ראי	ro|ʔˈi|_
קיץ	kˈa|ji|ts
נפת	nˈo|fe|t
פארש	fˈa|_|r|ʃ
פוביה	fˈo|_|b|ja|_
קרון	ka|ra|vˈa|n
כתבת	k|tˈo|ve|t
ראש	rˈo|_|ʃ
ראשון	ri|_|ʃˈo|_|n
צה"ל	tsˈa|ha|_|l
קרח	ke|re|ax
לציר	le|tsa|je|r
כללה	ka|le|la|_
הללויה	ha|le|lu|_|ja|_
סללו	sa|le|lu|_
התבוללות	hi|t|bo|_|le|lu|_|t
עלכן	ʔa|l|ke|n
שזה	ʃe|zˈe|_
איבריו	ʔe|j|va|rˈa|_|v
סתיו	s|tˈa|_|v
לאט	le|ʔˈa|t
ראי	re|ʔˈi|_
חייל	xa|jˈa|_|l
מעיין	ma|ʔ|jˈa|_|n
עיירה	ʔa|ja|_|rˈa|_
מעויין	me|ʔu|_|jˈa|_|n
סיימתי	si|jˈa|_|m|ti|_
עיניי	ʔe|_|nˈa|j|_
מקולף	me|ku|_|lˈa|f
שולחן	ʃu|_|l|xˈa|n
טראמפ	t|rˈa|_|m|p
מזג	mˈe|ze|g
אוויר	ʔa|vˈi|_|_|r
אוורירי	ʔa|v|_|ri|_|rˈi|_
צהוב	tsa|hˈo|_|v
לויתן	li|v|ja|tˈa|n
טווס	ta|vˈa|_|s
הואי	ha|vˈa|ʔi|_
ניווט	ni|_|vˈu|_|t
סיווג	si|_|vˈu|_|g
תיווך	ti|_|vˈu|_|x
מקוונת	me|ku|vˈe|_|ne|t
מסווגת	me|su|vˈe|_|ge|t
לכוון	le|xa|ve|_|n
